'ID Group,Group,ID Year,Year,Commute Means,Commute Means Moe,Geography,ID Geography,Slug Geography,share
4,"Motorcycle",2017,"2017",238540,9648,"United States","01000US","united-states",0.0015610983556622621
8,"Worked At Home",2017,"2017",126091,6902,"Los Angeles, CA","16000US0644000","los-angeles-ca",0.06328865501255825
7,"Other",2017,"2017",22682,2792,"Los Angeles, CA","16000US0644000","los-angeles-ca",0.011384740171739825
1,"Carpooled",2017,"2017",13604253,77767.85546098079,"United States","01000US","united-states",0.08903151248559318
6,"Walked",2017,"2017",65878,4417,"Los Angeles, CA","16000US0644000","los-angeles-ca",0.033066039724622
2,"Public Transit",2017,"2017",7637296,46466.29175004177,"United States","01000US","united-states",0.04998142964410989
5,"Bicycle",2017,"2017",18171,2592,"Los Angeles, CA","16000US0644000","los-angeles-ca",0.009120541118979118
3,"Taxi",2017,"2017",303441,11526,"United States","01000US","united-states",0.0019858356927161588
4,"Motorcycle",2017,"2017",4090,1247,"Los Angeles, CA","16000US0644000","los-angeles-ca",0.0020528871925939458
0,"Drove Alone",2017,"2017",116736603,155937,"United States","01000US","united-states",0.7639696444575262
3,"Taxi",2017,"2017",6744,1407,"Los Angeles, CA","16000US0644000","los-angeles-ca",0.0033850051899397483
5,"Bicycle",2017,"2017",836569,19581,"United States","01000US","united-states",0.005474832272566543
2,"Public Transit",2017,"2017",178151,7814.0122856315,"Los Angeles, CA","16000US0644000","los-angeles-ca",0.08941904798234818
6,"Walked",2017,"2017",4054632,41438,"United States","01000US","united-states",0.026535085721537646
1,"Carpooled",2017,"2017",181432,7433.0172877506475,"Los Angeles, CA","16000US0644000","los-angeles-ca",0.09106587509210386
7,"Other",2017,"2017",1397019,23630,"United States","01000US","united-states",0.009142634626179836
0,"Drove Alone",2017,"2017",1389077,16372.000000000002,"Los Angeles, CA","16000US0644000","los-angeles-ca",0.697217208515115
8,"Worked At Home",2017,"2017",7994319,44992,"United States","01000US","united-states",0.05231792674410824
4,"Motorcycle",2016,"2016",250999,7717.999999999999,"United States","01000US","united-states",0.0016691298177803717
6,"Walked",2016,"2016",67440,4937,"Los Angeles, CA","16000US0644000","los-angeles-ca",0.03478754271713199
2,"Public Transit",2016,"2016",7649210,51549.81824410247,"United States","01000US","united-states",0.050866834104772524
3,"Taxi",2016,"2016",3235,893.0000000000001,"Los Angeles, CA","16000US0644000","los-angeles-ca",0.0016687084918434458
5,"Bicycle",2016,"2016",863979,16556,"United States","01000US","united-states",0.005745413769919673
7,"Other",2016,"2016",26595,3007,"Los Angeles, CA","16000US0644000","los-angeles-ca",0.01371848604036366
1,"Carpooled",2016,"2016",13577238,71359.09286138663,"United States","01000US","united-states",0.09028790070438822
2,"Public Transit",2016,"2016",178455,8268.747910052645,"Los Angeles, CA","16000US0644000","los-angeles-ca",0.09205235669611193
6,"Walked",2016,"2016",4086487,37223,"United States","01000US","united-states",0.02717491823342666
5,"Bicycle",2016,"2016",20495,2591,"Los Angeles, CA","16000US0644000","los-angeles-ca",0.010571925978464118
3,"Taxi",2016,"2016",226687,9791,"United States","01000US","united-states",0.001507456328523935
1,"Carpooled",2016,"2016",168311,6273.7989288787385,"Los Angeles, CA","16000US0644000","los-angeles-ca",0.0868197820620285
7,"Other",2016,"2016",1359709,21063,"United States","01000US","united-states",0.00904199154340986
8,"Worked At Home",2016,"2016",118590,5131,"Los Angeles, CA","16000US0644000","los-angeles-ca",0.06117222258043717
