Year,Demographic,Units,Value
2012,Total,Percent by Gender,21.2
2012,Male,Percent by Gender,19.6
2012,Female,Percent by Gender,22.7
2012,Total,Percent by Race,21.2
2012,White,Percent by Race,17.3
2012,Black or African American,Percent by Race,27
2012,American Indian and Alaska Native,Percent by Race,23
2012,Asian,Percent by Race,15
2012,Native Hawaiian and Other Pacific Islander,Percent by Race,24.3
2012,Other,Percent by Race,31.2
2013,Total,Percent by Gender,22
2013,Male,Percent by Gender,20.4
2013,Female,Percent by Gender,23.5
2013,Total,Percent by Race,22
2013,White,Percent by Race,18.1
2013,Black or African American,Percent by Race,27.8
2013,American Indian and Alaska Native,Percent by Race,26.8
2013,Asian,Percent by Race,15.5
2013,Native Hawaiian and Other Pacific Islander,Percent by Race,22.6
2013,Other,Percent by Race,31.9
2014,Total,Percent by Gender,22.4
2014,Male,Percent by Gender,20.8
2014,Female,Percent by Gender,24
2014,Total,Percent by Race,22.4
2014,White,Percent by Race,18.6
2014,Black or African American,Percent by Race,29.1
2014,American Indian and Alaska Native,Percent by Race,26.2
2014,Asian,Percent by Race,15.9
2014,Native Hawaiian and Other Pacific Islander,Percent by Race,24
2014,Other,Percent by Race,32.4
2015,Total,Percent by Gender,22.1
2015,Male,Percent by Gender,20.5
2015,Female,Percent by Gender,23.7
2015,Total,Percent by Race,22.1
2015,White,Percent by Race,18.5
2015,Black or African American,Percent by Race,28.4
2015,American Indian and Alaska Native,Percent by Race,26.5
2015,Asian,Percent by Race,15.9
2015,Native Hawaiian and Other Pacific Islander,Percent by Race,23.2
2015,Other,Percent by Race,31.8
2016,Total,Percent by Gender,21.5
2016,Male,Percent by Gender,19.9
2016,Female,Percent by Gender,23.1
2016,Total,Percent by Race,21.5
2016,White,Percent by Race,18.1
2016,Black or African American,Percent by Race,28.4
2016,American Indian and Alaska Native,Percent by Race,26.1
2016,Asian,Percent by Race,15.4
2016,Native Hawaiian and Other Pacific Islander,Percent by Race,18.4
2016,Other,Percent by Race,30.5
2017,Total,Percent by Gender,20.4
2017,Male,Percent by Gender,18.8
2017,Female,Percent by Gender,21.9
2017,Total,Percent by Race,20.4
2017,White,Percent by Race,17.4
2017,Black or African American,Percent by Race,27.1
2017,American Indian and Alaska Native,Percent by Race,24.8
2017,Asian,Percent by Race,15.1
2017,Native Hawaiian and Other Pacific Islander,Percent by Race,15.1
2017,Other,Percent by Race,27.7
