Year,Demographic,By Program Type,Units,Value
2014,,CalFresh,Total Enrollment,1185610
2014,Elderly,CalFresh,Total Enrollment,54376
2014,18 to 59,CalFresh,Total Enrollment,515613
2014,Children,CalFresh,Total Enrollment,629908
2014,ESL,CalFresh,Total Enrollment,446111
2014,,Medical,Total Enrollment,3447095
2014,,SSI,Total Enrollment,389765
2014,,CalFresh,As a Percentage of Total Population,11.71
2014,,Medical,As a Percentage of Total Population,34.05
2014,,SSI,As a Percentage of Total Population,3.85
2015,,CalFresh,Total Enrollment,1177606
2015,Elderly,CalFresh,Total Enrollment,60495
2015,18 to 59,CalFresh,Total Enrollment,522881
2015,Children,CalFresh,Total Enrollment,612716
2015,ESL,CalFresh,Total Enrollment,434702
2015,,Medical,Total Enrollment,3809850
2015,,SSI,Total Enrollment,386663
2015,,CalFresh,As a Percentage of Total Population,11.56
2015,,Medical,As a Percentage of Total Population,37.40
2015,,SSI,As a Percentage of Total Population,3.80
2016,,CalFresh,Total Enrollment,1118309
2016,Elderly,CalFresh,Total Enrollment,65695
2016,18 to 59,CalFresh,Total Enrollment,489436
2016,Children,CalFresh,Total Enrollment,521779
2016,ESL,CalFresh,Total Enrollment,391688
2016,,Medical,Total Enrollment,4109763
2016,,SSI,Total Enrollment,381016
2016,,CalFresh,As a Percentage of Total Population,10.93
2016,,Medical,As a Percentage of Total Population,40.18
2016,,SSI,As a Percentage of Total Population,3.72
2017,,CalFresh,Total Enrollment,1081619
2017,Elderly,CalFresh,Total Enrollment,73289
2017,18 to 59,CalFresh,Total Enrollment,474008
2017,Children,CalFresh,Total Enrollment,538420
2017,ESL,CalFresh,Total Enrollment,376091
2017,,Medical,Total Enrollment,3981655
2017,,SSI,Total Enrollment,374280
2017,,CalFresh,As a Percentage of Total Population,10.51
2017,,Medical,As a Percentage of Total Population,38.70
2017,,SSI,As a Percentage of Total Population,3.64
2018,,CalFresh,Total Enrollment,1071315
2018,Elderly,CalFresh,Total Enrollment,91132
2018,18 to 59,CalFresh,Total Enrollment,486906
2018,Children,CalFresh,Total Enrollment,520268
2018,ESL,CalFresh,Total Enrollment,363721
2018,,Medical,Total Enrollment,3923601
2018,,SSI,Total Enrollment,366052
2018,,CalFresh,As a Percentage of Total Population,10.42
2018,,Medical,As a Percentage of Total Population,38.15
2018,,SSI,As a Percentage of Total Population,3.56
2019,,CalFresh,Total Enrollment,1151578
2019,Elderly,CalFresh,Total Enrollment,181910
2019,18 to 59,CalFresh,Total Enrollment,497924
2019,Children,CalFresh,Total Enrollment,471744
2019,ESL,CalFresh,Total Enrollment,378038
2019,,Medical,Total Enrollment,3824551
2019,,SSI,Total Enrollment,359102
2019,,CalFresh,As a Percentage of Total Population,11.2
2019,,Medical,As a Percentage of Total Population,37.3
2019,,SSI,As a Percentage of Total Population,3.5
2020,,CalFresh,Total Enrollment,1405750
2020,Elderly,CalFresh,Total Enrollment,272684
2020,18 to 59,CalFresh,Total Enrollment,621516
2020,Children,CalFresh,Total Enrollment,511550
2020,ESL,CalFresh,Total Enrollment,457367
2020,,Medical,Total Enrollment,3845325
2020,,SSI,Total Enrollment,353975
2020,,CalFresh,As a Percentage of Total Population,13.8
2020,,Medical,As a Percentage of Total Population,37.8
2020,,SSI,As a Percentage of Total Population,3.5
2021,,CalFresh,Total Enrollment,1353525
2021,Elderly,CalFresh,Total Enrollment,292124
2021,18 to 59,CalFresh,Total Enrollment,577140
2021,Children,CalFresh,Total Enrollment,484261
2021,ESL,CalFresh,Total Enrollment,439,938
2021,,Medical,Total Enrollment,4,070,735
2021,,SSI,Total Enrollment,339032
2021,,CalFresh,As a Percentage of Total Population,13.27
2021,,Medical,As a Percentage of Total Population,39.9
2021,,SSI,As a Percentage of Total Population,3.3
2022,,CalFresh,Total Enrollment,1480609
2022,Elderly,CalFresh,Total Enrollment,337862
2022,18 to 59,CalFresh,Total Enrollment,640596
2022,Children,CalFresh,Total Enrollment,502151
2022,ESL,CalFresh,Total Enrollment,462467
2022,,Medical,Total Enrollment,4,281,539
2022,,SSI,Total Enrollment,332662
2022,,CalFresh,As a Percentage of Total Population,14.5
2022,,Medical,As a Percentage of Total Population,41.9
2022,,SSI,As a Percentage of Total Population,3.3
2023,,CalFresh,Total Enrollment,1601828
2023,Elderly,CalFresh,Total Enrollment,378869
2023,18 to 59,CalFresh,Total Enrollment,701388
2023,Children,CalFresh,Total Enrollment,521571
2023,ESL,CalFresh,Total Enrollment,498842
2023,,Medical,Total Enrollment,4,488,784
2023,,SSI,Total Enrollment,326080
2023,,CalFresh,As a Percentage of Total Population,16.43
2023,,Medical,As a Percentage of Total Population,46
2023,,SSI,As a Percentage of Total Population,3.3
