Year,Service Type,Value
2022,Complete Plumbing Facilities,99.6
2022,Complete Kitchen Facilities,98.3
2022,Telephone Service,99.1
2022,At Least One Vehicle Available,88.6
2021,Complete Plumbing Facilities,99.5
2021,Complete Kitchen Facilities,98.1
2021,Telephone Service,98.8
2021,At Least One Vehicle Available,88.4
2020,Complete Plumbing Facilities,99.4
2020,Complete Kitchen Facilities,98.1
2020,Telephone Service,98.5
2020,At Least One Vehicle Available,88.1
2019,Complete Plumbing Facilities,99.6
2019,Complete Kitchen Facilities,98.3
2019,Telephone Service,99.1
2019,At Least One Vehicle Available,87.9
2018,Complete Plumbing Facilities,99.4
2018,Complete Kitchen Facilities,98.2
2018,Telephone Service,98.5
2018,At Least One Vehicle Available,88.3
2017,Complete Plumbing Facilities,99.4
2017,Complete Kitchen Facilities,98.2
2017,Telephone Service,98.7
2017,At Least One Vehicle Available,88.3
2016,Complete Plumbing Facilities,99.3
2016,Complete Kitchen Facilities,97.9
2016,Telephone Service,97.4
2016,At Least One Vehicle Available,87.8
2015,Complete Plumbing Facilities,99.3
2015,Complete Kitchen Facilities,98.1
2015,Telephone Service,97.5
2015,At Least One Vehicle Available,87.9
2014,Complete Plumbing Facilities,99.3
2014,Complete Kitchen Facilities,97.9
2014,Telephone Service,97.6
2014,At Least One Vehicle Available,86.7
2013,Complete Plumbing Facilities,99.4
2013,Complete Kitchen Facilities,98.1
2013,Telephone Service,97.9
2013,At Least One Vehicle Available,87
2012,Complete Plumbing Facilities,99.4
2012,Complete Kitchen Facilities,98
2012,Telephone Service,97.8
2012,At Least One Vehicle Available,86.4
2011,Complete Plumbing Facilities,99.1
2011,Complete Kitchen Facilities,97.6
2011,Telephone Service,97.4
2011,At Least One Vehicle Available,86.2
