Year,Earning Group,Gender,Value
2009,"less than $25,000",,32.7
2009,"$25,000 - $50,000",,33.3
2009,"$50,000 - $75,000",,16.2
2009,"over $75,000",,17.8
2009,"less than $25,000",Male,32.5
2009,"$25,000 - $50,000",Male,32.2
2009,"$50,000 - $75,000",Male,15.4
2009,"over $75,000",Male,20
2009,"less than $25,000",Female,33
2009,"$25,000 - $50,000",Female,34.9
2009,"$50,000 - $75,000",Female,17.3
2009,"over $75,000",Female,14.7
2010,"less than $25,000",,31.6
2010,"$25,000 - $50,000",,32.8
2010,"$50,000 - $75,000",,16.7
2010,"over $75,000",,18.8
2010,"less than $25,000",Male,31.2
2010,"$25,000 - $50,000",Male,31.8
2010,"$50,000 - $75,000",Male,15.9
2010,"over $75,000",Male,21.2
2010,"less than $25,000",Female,32.2
2010,"$25,000 - $50,000",Female,34.2
2010,"$50,000 - $75,000",Female,18
2010,"over $75,000",Female,15.6
2011,"less than $25,000",,30.2
2011,"$25,000 - $50,000",,32.8
2011,"$50,000 - $75,000",,17
2011,"over $75,000",,20.1
2011,"less than $25,000",Male,30.2
2011,"$25,000 - $50,000",Male,31.7
2011,"$50,000 - $75,000",Male,15.8
2011,"over $75,000",Male,22.3
2011,"less than $25,000",Female,30.2
2011,"$25,000 - $50,000",Female,34.4
2011,"$50,000 - $75,000",Female,18.6
2011,"over $75,000",Female,16.8
2012,"less than $25,000",,29.6
2012,"$25,000 - $50,000",,32.4
2012,"$50,000 - $75,000",,17.2
2012,"over $75,000",,20.8
2012,"less than $25,000",Male,29.3
2012,"$25,000 - $50,000",Male,31.5
2012,"$50,000 - $75,000",Male,16.1
2012,"over $75,000",Male,23
2012,"less than $25,000",Female,29.8
2012,"$25,000 - $50,000",Female,33.7
2012,"$50,000 - $75,000",Female,18.8
2012,"over $75,000",Female,17.8
2013,"less than $25,000",,29.9
2013,"$25,000 - $50,000",,31.9
2013,"$50,000 - $75,000",,16.8
2013,"over $75,000",,21.5
2013,"less than $25,000",Male,29.9
2013,"$25,000 - $50,000",Male,30.8
2013,"$50,000 - $75,000",Male,15.8
2013,"over $75,000",Male,23.6
2013,"less than $25,000",Female,29.7
2013,"$25,000 - $50,000",Female,33.4
2013,"$50,000 - $75,000",Female,18.3
2013,"over $75,000",Female,18.6
2014,"less than $25,000",,29.5
2014,"$25,000 - $50,000",,31.8
2014,"$50,000 - $75,000",,16.9
2014,"over $75,000",,21.9
2014,"less than $25,000",Male,29.6
2014,"$25,000 - $50,000",Male,30.7
2014,"$50,000 - $75,000",Male,16
2014,"over $75,000",Male,23.7
2014,"less than $25,000",Female,29.5
2014,"$25,000 - $50,000",Female,33.1
2014,"$50,000 - $75,000",Female,18.2
2014,"over $75,000",Female,19.2
2015,"less than $25,000",,29.5
2015,"$25,000 - $50,000",,31.6
2015,"$50,000 - $75,000",,17.1
2015,"over $75,000",,22
2015,"less than $25,000",Male,29.4
2015,"$25,000 - $50,000",Male,30.6
2015,"$50,000 - $75,000",Male,16.1
2015,"over $75,000",Male,23.9
2015,"less than $25,000",Female,29.5
2015,"$25,000 - $50,000",Female,32.8
2015,"$50,000 - $75,000",Female,18.3
2015,"over $75,000",Female,19.4
2016,"less than $25,000",,28.4
2016,"$25,000 - $50,000",,33.7
2016,"$50,000 - $75,000",,17.2
2016,"over $75,000",,22.7
2016,"less than $25,000",Male,28
2016,"$25,000 - $50,000",Male,31
2016,"$50,000 - $75,000",Male,14.2
2016,"over $75,000",Male,24.6
2016,"less than $25,000",Female,28.9
2016,"$25,000 - $50,000",Female,32.6
2016,"$50,000 - $75,000",Female,18.4
2016,"over $75,000",Female,20
2017,"less than $25,000",,26.7
2017,"$25,000 - $50,000",,31.6
2017,"$50,000 - $75,000",,17.5
2017,"over $75,000",,23.8
2017,"less than $25,000",Male,26.4
2017,"$25,000 - $50,000",Male,31.6
2017,"$50,000 - $75,000",Male,16.4
2017,"over $75,000",Male,25.7
2017,"less than $25,000",Female,27.4
2017,"$25,000 - $50,000",Female,32.5
2017,"$50,000 - $75,000",Female,19
2017,"over $75,000",Female,21
