Year,Sheltered/Unsheltered,Gender,Race/Ethnicity,Age,Sexual Orientation,Health/Disability,Domestic Violence,Units,Value
2019,,,,,,,,Percent of Total Population,0.91
2019,,,,,,,,Total by Sheltered/Unsheltered,36165
2019,sheltered,,,,,,,Total by Sheltered/Unsheltered,8944
2019,unsheltered,,,,,,,Total by Sheltered/Unsheltered,27221
2019,,,,,,,,Total by Gender,36165
2019,,male,,,,,,Total by Gender,24360
2019,,female,,,,,,Total by Gender,10845
2019,,transgender,,,,,,Total by Gender,810
2019,,gender non-conforming,,,,,,Total by Gender,150
2019,,,,,,,,Total by Race/ Ethnicity,36165
2019,,,American Indian/ Alaska Native,,,,,Total by Race/ Ethnicity,530
2019,,,Asian,,,,,Total by Race/ Ethnicity,299
2019,,,Black/ African American,,,,,Total by Race/ Ethnicity,13629
2019,,,Hispanic/ Latino,,,,,Total by Race/ Ethnicity,12403
2019,,,Native Hawaiian/ Other Pacific Islander,,,,,Total by Race/ Ethnicity,100
2019,,,White,,,,,Total by Race/ Ethnicity,8223
2019,,,Multi-Racial/Other,,,,,Total by Race/ Ethnicity,981
2019,,,,,,,,Total by Age Group,36165
2019,,,,under 18,,,,Total by Age Group,3305
2019,,,,18-24,,,,Total by Age Group,2272
2019,,,,25-54,,,,Total by Age Group,21788
2019,,,,55-61,,,,Total by Age Group,5654
2019,,,,62 and over,,,,Total by Age Group,3146
2019,,,,,,,,Total by Sexual Orientation,36165
2019,,,,,straight,,,Total by Sexual Orientation,32487
2019,,,,,gay or lesbian,,,Total by Sexual Orientation,1401
2019,,,,,bisexual,,,Total by Sexual Orientation,1438
2019,,,,,sexual orientation non-conforming,,,Total by Sexual Orientation,839
2019,,,,,,,,Total by Health/ Disability,36165
2019,,,,,,substance use disorder,,Total by Health/ Disability,4888
2019,,,,,,HIV/AIDS,,Total by Health/ Disability,867
2019,,,,,,serious mental illness,,Total by Health/ Disability,8785
2019,,,,,,developmental disability,,Total by Health/ Disability,3079
2019,,,,,,physical disability,,Total by Health/ Disability,6095
2019,,,,,,,,Total by DV/IPV,36165
2019,,,,,,,Domestic/Intimate Partner Violence Experience,Total by DV/IPV,12860
2019,,,,,,,Homeless Due to Fleeing Domestic/Intimate Partner,Total by DV/IPV,1873
2018,,,,,,,,Percent of Total Population,0.78
2018,,,,,,,,Total by Sheltered/Unsheltered,31285
2018,sheltered,,,,,,,Total by Sheltered/Unsheltered,8398
2018,unsheltered,,,,,,,Total by Sheltered/Unsheltered,22887
2018,,,,,,,,Total by Gender,31285
2018,,male,,,,,,Total by Gender,20907
2018,,female,,,,,,Total by Gender,9577
2018,,transgender,,,,,,Total by Gender,688
2018,,gender non-conforming,,,,,,Total by Gender,113
2018,,,,,,,,Total by Race/ Ethnicity,31285
