Year,Bus or Rail,Value
2015,,440945854
2015,Bus,333971187
2015,Rail,106974667
2016,,415619330
2016,Bus,304160857
2016,Rail,111458473
2017,,397491365
2017,Bus,284708290
2017,Rail,112783075
2018,,383795186
2018,Bus,275777661
2018,Rail,108017525
2019,,370480743
2019,Bus,277308845
2019,Rail,93171898
2020,,213090477
2020,Bus,161171528
2020,Rail,51918949
2021,,227726057
2021,Bus,179859174
2021,Rail,47866883
2022,,258518370
2022,Bus,197952375
2022,Rail,60565995
2023,,288088023
2023,Bus,222922677
2023,Rail,65165346
