Year,Fire Name (County),Cause of Death / Missing,Missing,Value
2018 November,Camp Fire (Butte County),Fire,,85
2019 November,Camp Fire (Butte County),Fire,Missing,3
2017 October,Tubbs Fire (Napa & Sonoma),Fire,,22
2018 July,"Carr Fire (Shasta, Trinity)",Fire,,8
2003 October,Old Fire (San Bernardino),Fire,,6
2018 November,Woolsey Fire (LA & Ventura),Fire,,3
2017 December,Thomas Fire (Ventura & Santa Barbara),Fire,,2
2017 December,Thomas Fire (Ventura & Santa Barbara),Mudslides,,21
2003 October,Cedar Fire (San Diego),Fire,,15
2017 October,Redwood Valley (Mendocino),,,9
2008 August,Iron Alps Complex (Trinity),,,10
2017 October,"Atlas (Napa, Solano)",,,6
2006 October,Esperanza (Riverside),,,5
