Year,Solid Resource Type,Units,Value
2015,Bulky,Bulky Item Tons,8250
2015,Recycling,Recycling Tons,37160
2015,Refuse,Refuse Tons,139064
2015,Yard Trimmings,Yard Trimming Tons,68446
2015,,,252920
2016,Bulky,Bulky Item Tons,57685
2016,Recycling,Recycling Tons,222035
2016,Refuse,Refuse Tons,858889
2016,Yard Trimmings,Yard Trimming Tons,408844
2016,,,1547453
2017,Bulky,Bulky Item Tons,64770
2017,Recycling,Recycling Tons,219396
2017,Refuse,Refuse Tons,879624
2017,Yard Trimmings,Yard Trimming Tons,430602
2017,,,1594392
2018,Bulky,Bulky Item Tons,68054
2018,Recycling,Recycling Tons,206390
2018,Refuse,Refuse Tons,883330
2018,Yard Trimmings,Yard Trimming Tons,412492
2018,,,1570267
