Year,Location,Units,Value
2013,,Fine Particulates PM2.5,11.14
2014,,Fine Particulates PM2.5,11.54
2015,,Fine Particulates PM2.5,10.79
2016,,Fine Particulates PM2.5,10.63
2017,,Fine Particulates PM2.5,11.3
2013,,Fine Particulates PM10 Sulfate,4.94
2014,,Fine Particulates PM10 Sulfate,7.2
2015,,Fine Particulates PM10 Sulfate,8.68
2016,,Fine Particulates PM10 Sulfate,6.55
2017,,Fine Particulates PM10 Sulfate,4.27
2013,Central LA,Fine Particulates PM2.5,11.95
2013,South Coastal LA County 1,Fine Particulates PM2.5,11.34
2013,South Coastal LA County 2,Fine Particulates PM2.5,10.97
2013,West San Fernando Valley,Fine Particulates PM2.5,9.71
2013,East San Fernando Valley,Fine Particulates PM2.5,12.15
2013,West San Gabriel Valley,Fine Particulates PM2.5,10.13
2013,East San Gabriel Valley 1,Fine Particulates PM2.5,10.54
2013,South San Gabriel Valley,Fine Particulates PM2.5,11.56
2013,South Central LA County,Fine Particulates PM2.5,11.95
2013,Central LA,Fine Particulates PM10 Sulfate,5.8
2013,Southwest Coastal LA County,Fine Particulates PM10 Sulfate,5.6
2013,South Coastal LA County 1,Fine Particulates PM10 Sulfate,4.5
2013,South Coastal LA County 2,Fine Particulates PM10 Sulfate,4.8
2013,East San Fernando Valley,Fine Particulates PM10 Sulfate,5.4
2013,East San Gabriel Valley 1,Fine Particulates PM10 Sulfate,4.8
2013,Santa Clarita Valley,Fine Particulates PM10 Sulfate,3.7
2014,Central LA,Fine Particulates PM2.5,12.36
2014,South Coastal LA County 1,Fine Particulates PM2.5,11.42
2014,South Coastal LA County 2,Fine Particulates PM2.5,10.72
2014,West San Fernando Valley,Fine Particulates PM2.5,9.72
2014,East San Fernando Valley,Fine Particulates PM2.5,12.08
2014,West San Gabriel Valley,Fine Particulates PM2.5,11.29
2014,East San Gabriel Valley 1,Fine Particulates PM2.5,11.63
2014,South San Gabriel Valley,Fine Particulates PM2.5,12.08
2014,South Central LA County,Fine Particulates PM2.5,12.64
2014,Central LA,Fine Particulates PM10 Sulfate,11
2014,Southwest Coastal LA County,Fine Particulates PM10 Sulfate,5.1
2014,South Coastal LA County 1,Fine Particulates PM10 Sulfate,
2014,South Coastal LA County 2,Fine Particulates PM10 Sulfate,4.5
2014,East San Fernando Valley,Fine Particulates PM10 Sulfate,4
2014,East San Gabriel Valley 1,Fine Particulates PM10 Sulfate,14.3
2014,Santa Clarita Valley,Fine Particulates PM10 Sulfate,4.3
2015,Central LA,Fine Particulates PM2.5,12.38
2015,South Coastal LA County 1,Fine Particulates PM2.5,10.81
2015,South Coastal LA County 2,Fine Particulates PM2.5,10.26
2015,I-710 Near Road,Fine Particulates PM2.5,12.89
2015,West San Fernando Valley,Fine Particulates PM2.5,8.84
2015,West San Gabriel Valley,Fine Particulates PM2.5,9.57
2015,East San Gabriel Valley 1,Fine Particulates PM2.5,9.4
2015,South San Gabriel Valley,Fine Particulates PM2.5,11.14
2015,South Central LA County,Fine Particulates PM2.5,11.78
2015,Central LA,Fine Particulates PM10 Sulfate,6.1
2015,Southwest Coastal LA County,Fine Particulates PM10 Sulfate,6.5
2015,South Coastal LA County 1,Fine Particulates PM10 Sulfate,
2015,South Coastal LA County 2,Fine Particulates PM10 Sulfate,6.3
2015,South Coastal LA County 3,Fine Particulates PM10 Sulfate,6.9
2015,East San Fernando Valley,Fine Particulates PM10 Sulfate,
2015,East San Gabriel Valley 1,Fine Particulates PM10 Sulfate,21
2015,Santa Clarita Valley,Fine Particulates PM10 Sulfate,5.3
2016,Central LA,Fine Particulates PM2.5,11.83
2016,South Coastal LA County 1,Fine Particulates PM2.5,10.36
2016,South Coastal LA County 2,Fine Particulates PM2.5,9.62
2016,I-710 Near Road,Fine Particulates PM2.5,12.03
2016,West San Fernando Valley,Fine Particulates PM2.5,9.23
2016,West San Gabriel Valley,Fine Particulates PM2.5,9.59
2016,East San Gabriel Valley 1,Fine Particulates PM2.5,10.15
2016,South San Gabriel Valley,Fine Particulates PM2.5,11.75
2016,South Central LA County,Fine Particulates PM2.5,11.13
2016,Central LA,Fine Particulates PM10 Sulfate,5.8
2016,Southwest Coastal LA County,Fine Particulates PM10 Sulfate,6.2
2016,South Coastal LA County 1,Fine Particulates PM10 Sulfate,
2016,South Coastal LA County 2,Fine Particulates PM10 Sulfate,6.3
2016,South Coastal LA County 3,Fine Particulates PM10 Sulfate,7.4
2016,East San Fernando Valley,Fine Particulates PM10 Sulfate,
2016,East San Gabriel Valley 1,Fine Particulates PM10 Sulfate,9.5
2016,Santa Clarita Valley,Fine Particulates PM10 Sulfate,4.1
2017,Central LA,Fine Particulates PM2.5,11.94
2017,South Coastal LA County 1,Fine Particulates PM2.5,10.9
2017,South Coastal LA County 2,Fine Particulates PM2.5,11.02
2017,I-710 Near Road,Fine Particulates PM2.5,12.9
2017,West San Fernando Valley,Fine Particulates PM2.5,9.7
2017,West San Gabriel Valley,Fine Particulates PM2.5,9.68
2017,East San Gabriel Valley 1,Fine Particulates PM2.5,10.42
2017,South San Gabriel Valley,Fine Particulates PM2.5,12.23
2017,South Central LA County,Fine Particulates PM2.5,12.92
2017,Central LA,Fine Particulates PM10 Sulfate,5.1
2017,Southwest Coastal LA County,Fine Particulates PM10 Sulfate,5.2
2017,South Coastal LA County 1,Fine Particulates PM10 Sulfate,
2017,South Coastal LA County 2,Fine Particulates PM10 Sulfate,3.1
2017,South Coastal LA County 3,Fine Particulates PM10 Sulfate,3.8
2017,East San Fernando Valley,Fine Particulates PM10 Sulfate,
2017,East San Gabriel Valley 1,Fine Particulates PM10 Sulfate,3.9
2017,Santa Clarita Valley,Fine Particulates PM10 Sulfate,4.5
