Year,Recyclables Collected,Bulky Items Collected,Value
2018,Recyclables Collected,,207756
2017,Recyclables Collected,,224796
2016,Recyclables Collected,,216542
2015,Recyclables Collected,,209924
2014,Recyclables Collected,,198143
2013,Recyclables Collected,,150380
2012,Recyclables Collected,,143338
2011,Recyclables Collected,,148194
2010,Recyclables Collected,,141314
2009,Recyclables Collected,,170000
2018,,Bulky Items Collected,53766
2017,,Bulky Items Collected,91224
2016,,Bulky Items Collected,60101
2015,,Bulky Items Collected,46416
2014,,Bulky Items Collected,33720
2013,,Bulky Items Collected,34000
2012,,Bulky Items Collected,27640
2011,,Bulky Items Collected,32479
2010,,Bulky Items Collected,33330
2009,,Bulky Items Collected,33146
