Year,Departmental/ Non-departmental,Units,Value
2018,,Adopted Budget (Million $),9292
2018,Departmental,Adopted Budget (Million $),4469
2018,Non-departmental,Adopted Budget (Million $),4823
2018,,Actual Expenditures (Million $),8574
2018,Departmental,Actual Expenditures (Million $),4592
2018,Non-departmental,Actual Expenditures (Million $),3982
2018,,Expenditure as a Proportion of Adopted Budget (%),92
2018,Departmental,Expenditure as a Proportion of Adopted Budget (%),103
2018,Non-departmental,Expenditure as a Proportion of Adopted Budget (%),83
2017,,Adopted Budget (Million $),8777
2017,Departmental,Adopted Budget (Million $),4290
2017,Non-departmental,Adopted Budget (Million $),4487
2017,,Actual Expenditures (Million $),8291
2017,Departmental,Actual Expenditures (Million $),4348
2017,Non-departmental,Actual Expenditures (Million $),3943
2017,,Expenditure as a Proportion of Adopted Budget (%),94
2017,Departmental,Expenditure as a Proportion of Adopted Budget (%),101
2017,Non-departmental,Expenditure as a Proportion of Adopted Budget (%),88
2016,,Adopted Budget (Million $),8583
2016,Departmental,Adopted Budget (Million $),4136
2016,Non-departmental,Adopted Budget (Million $),4446
2016,,Actual Expenditures (Million $),7778
2016,Departmental,Actual Expenditures (Million $),4113
2016,Non-departmental,Actual Expenditures (Million $),3665
2016,,Expenditure as a Proportion of Adopted Budget (%),91
2016,Departmental,Expenditure as a Proportion of Adopted Budget (%),99
2016,Non-departmental,Expenditure as a Proportion of Adopted Budget (%),82
2015,,Adopted Budget (Million $),8122
2015,Departmental,Adopted Budget (Million $),3865
2015,Non-departmental,Adopted Budget (Million $),4257
2015,,Actual Expenditures (Million $),7421
2015,Departmental,Actual Expenditures (Million $),3970
2015,Non-departmental,Actual Expenditures (Million $),3451
2015,,Expenditure as a Proportion of Adopted Budget (%),91
2015,Departmental,Expenditure as a Proportion of Adopted Budget (%),103
2015,Non-departmental,Expenditure as a Proportion of Adopted Budget (%),81
2014,,Adopted Budget (Million $),7686
2014,Departmental,Adopted Budget (Million $),3719
2014,Non-departmental,Adopted Budget (Million $),3967
2014,,Actual Expenditures (Million $),7076
2014,Departmental,Actual Expenditures (Million $),3754
2014,Non-departmental,Actual Expenditures (Million $),3322
2014,,Expenditure as a Proportion of Adopted Budget (%),92
2014,Departmental,Expenditure as a Proportion of Adopted Budget (%),101
2014,Non-departmental,Expenditure as a Proportion of Adopted Budget (%),84
2013,,Adopted Budget (Million $),7246
2013,Departmental,Adopted Budget (Million $),3575
2013,Non-departmental,Adopted Budget (Million $),3672
2013,,Actual Expenditures (Million $),6747
2013,Departmental,Actual Expenditures (Million $),3612
2013,Non-departmental,Actual Expenditures (Million $),3135
2013,,Expenditure as a Proportion of Adopted Budget (%),93
2013,Departmental,Expenditure as a Proportion of Adopted Budget (%),101
2013,Non-departmental,Expenditure as a Proportion of Adopted Budget (%),85
2012,,Adopted Budget (Million $),6872
2012,Departmental,Adopted Budget (Million $),3405
2012,Non-departmental,Adopted Budget (Million $),3467
2012,,Actual Expenditures (Million $),6607
2012,Departmental,Actual Expenditures (Million $),3557
2012,Non-departmental,Actual Expenditures (Million $),3050
2012,,Expenditure as a Proportion of Adopted Budget (%),96
2012,Departmental,Expenditure as a Proportion of Adopted Budget (%),104
2012,Non-departmental,Expenditure as a Proportion of Adopted Budget (%),88
2011,,Adopted Budget (Million $),6749
2011,Departmental,Adopted Budget (Million $),3385
2011,Non-departmental,Adopted Budget (Million $),3364
2011,,Actual Expenditures (Million $),6433
2011,Departmental,Actual Expenditures (Million $),3487
2011,Non-departmental,Actual Expenditures (Million $),2945
2011,,Expenditure as a Proportion of Adopted Budget (%),95
2011,Departmental,Expenditure as a Proportion of Adopted Budget (%),103
2011,Non-departmental,Expenditure as a Proportion of Adopted Budget (%),88
