Year,Units,Value
2011,GPD (Thousands of current dollars),756470973
2012,GPD (Thousands of current dollars),788081634
2013,GPD (Thousands of current dollars),820353615
2014,GPD (Thousands of current dollars),858170811
2015,GPD (Thousands of current dollars),912384865
2016,GPD (Thousands of current dollars),945600303
2017,GPD (Thousands of current dollars),995114475
2018,GPD (Thousands of current dollars),1047661346
2011,Real per capita personal income (Chained 2012 dollars),41173
2012,Real per capita personal income (Chained 2012 dollars),43345
2013,Real per capita personal income (Chained 2012 dollars),42439
2014,Real per capita personal income (Chained 2012 dollars),44375
2015,Real per capita personal income (Chained 2012 dollars),47402
2016,Real per capita personal income (Chained 2012 dollars),48330
2017,Real per capita personal income (Chained 2012 dollars),49222
2013,Unemployment rate,9.6
2014,Unemployment rate,8.2
2015,Unemployment rate,6.8
2016,Unemployment rate,6.2
2017,Unemployment rate,5.5
2018,Unemployment rate,5.2
2011,City Expense Budget (Thousands of dollars),7199859
2012,City Expense Budget (Thousands of dollars),7447547
2013,City Expense Budget (Thousands of dollars),7709460
2014,City Expense Budget (Thousands of dollars),7069720
2015,City Expense Budget (Thousands of dollars),7420932
2016,City Expense Budget (Thousands of dollars),8582563
2017,City Expense Budget (Thousands of dollars),8776961
2018,City Expense Budget (Thousands of dollars),9292135
2019,City Expense Budget (Thousands of dollars),9899768
2011,City Revenue Budget (Thousands of dollars),6749232
2012,City Revenue Budget (Thousands of dollars),6871560
2013,City Revenue Budget (Thousands of dollars),7246117
2014,City Revenue Budget (Thousands of dollars),7685509
2015,City Revenue Budget (Thousands of dollars),8122943
2016,City Revenue Budget (Thousands of dollars),8582563
2017,City Revenue Budget (Thousands of dollars),8776961
2018,City Revenue Budget (Thousands of dollars),9292126
2019,City Revenue Budget (Thousands of dollars),9899768
