Year,Age,Race,Education Attainment,Employment Status,Units,Value
2015,,,,,Percentage by Age,80.8
2015,Under 18 years,,,,Percentage by Age,83.3
2015,18 to 64 years,,,,Percentage by Age,83.1
2015,65 years and over,,,,Percentage by Age,67
2015,,,,,Percentage by Race,80.8
2015,,White,,,Percentage by Race,82.4
2015,,African American,,,Percentage by Race,69.7
2015,,American Indian and Alaska Native,,,Percentage by Race,65.3
2015,,Asian,,,Percentage by Race,91.3
2015,,Hispanic or Latino,,,Percentage by Race,74.5
2015,,,,,Percentage by Education,80.8
2015,,,Less than High School,,Percentage by Education,56.8
2015,,,High School Graduate,,Percentage by Education,77.6
2015,,,Bachelor's Degree or Higher,,Percentage by Education,92.2
2015,,,,,Percentage by Employment,80.8
2015,,,,Employed,Percentage by Employment,85.6
2015,,,,Unemployed,Percentage by Employment,76.6
2015,,,,Not in Labor Force,Percentage by Employment,71.6
2016,,,,,Percentage by Age,85.2
2016,Under 18 years,,,,Percentage by Age,88.6
2016,18 to 64 years,,,,Percentage by Age,87.4
2016,65 years and over,,,,Percentage by Age,71.1
2016,,,,,Percentage by Race,85.2
2016,,White,,,Percentage by Race,86.3
2016,,African American,,,Percentage by Race,77.4
2016,,American Indian and Alaska Native,,,Percentage by Race,71.4
2016,,Asian,,,Percentage by Race,92.6
2016,,Hispanic or Latino,,,Percentage by Race,81.1
2016,,,,,Percentage by Education,85.2
2016,,,Less than High School,,Percentage by Education,64
2016,,,High School Graduate,,Percentage by Education,82.2
2016,,,Bachelor's Degree or Higher,,Percentage by Education,93.9
2016,,,,,Percentage by Employment,85.2
2016,,,,Employed,Percentage by Employment,89.5
2016,,,,Unemployed,Percentage by Employment,83.2
2016,,,,Not in Labor Force,Percentage by Employment,75.8
2017,,,,,Percentage by Age,87
2017,Under 18 years,,,,Percentage by Age,90.3
2017,18 to 64 years,,,,Percentage by Age,89.1
2017,65 years and over,,,,Percentage by Age,74
2017,,,,,Percentage by Race,87
2017,,White,,,Percentage by Race,87.9
2017,,African American,,,Percentage by Race,80.2
2017,,American Indian and Alaska Native,,,Percentage by Race,73.9
2017,,Asian,,,Percentage by Race,93.4
2017,,Hispanic or Latino,,,Percentage by Race,84.1
2017,,,,,Percentage by Education,87
2017,,,Less than High School,,Percentage by Education,67.7
2017,,,High School Graduate,,Percentage by Education,84.1
2017,,,Bachelor's Degree or Higher,,Percentage by Education,94.5
2017,,,,,Percentage by Employment,87
2017,,,,Employed,Percentage by Employment,90.9
2017,,,,Unemployed,Percentage by Employment,85.8
2017,,,,Not in Labor Force,Percentage by Employment,78.2
2018,,,,,Percentage by Age,88.3
2018,Under 18 years,,,,Percentage by Age,91.5
2018,18 to 64 years,,,,Percentage by Age,90.3
2018,65 years and over,,,,Percentage by Age,76.1
2018,,,,,Percentage by Race,88.3
2018,,White,,,Percentage by Race,89
2018,,African American,,,Percentage by Race,82.2
2018,,American Indian and Alaska Native,,,Percentage by Race,76
2018,,Asian,,,Percentage by Race,94.3
2018,,Hispanic or Latino,,,Percentage by Race,85.6
2018,,,,,Percentage by Education,88.3
2018,,,Less than High School,,Percentage by Education,70.1
2018,,,High School Graduate,,Percentage by Education,85.5
2018,,,Bachelor's Degree or Higher,,Percentage by Education,95
2018,,,,,Percentage by Employment,88.3
2018,,,,Employed,Percentage by Employment,91.8
2018,,,,Unemployed,Percentage by Employment,87.6
2018,,,,Not in Labor Force,Percentage by Employment,80
2018,,,,,Percentage by Employment,
2018,,,,Employed,Percentage by Employment,
2018,,,,Unemployed,Percentage by Employment,
2018,,,,Not in Labor Force,Percentage by Employment,
