Year,Race/Ethnicity,Value
2011,,75.9
2012,,78.2
2013,,74.5
2014,,73.1
2015,,73.6
2016,,71.7
2017,,76
2018,,76.5
2011,Latino,69.8
2012,Latino,73.7
2013,Latino,70
2014,Latino,68.8
2015,Latino,68.4
2016,Latino,66.7
2017,Latino,72.3
2018,Latino,71.8
2011,White (non-latino),87.7
2012,White (non-latino),88.1
2013,White (non-latino),88
2014,White (non-latino),85.4
2015,White (non-latino),84.3
2016,White (non-latino),83.4
2017,White (non-latino),86.1
2018,White (non-latino),90.5
2011,African American (non-latino),75.9
2012,African American (non-latino),76.2
2013,African American (non-latino),71.9
2014,African American (non-latino),75.9
2015,African American (non-latino),73.3
2016,African American (non-latino),69.1
2017,African American (non-latino),72.1
2018,African American (non-latino),73.3
2011,Asian (non-latino),70.6
2012,Asian (non-latino),71.1
2013,Asian (non-latino),63.4
2014,Asian (non-latino),59.4
2015,Asian (non-latino),68.3
2016,Asian (non-latino),64.9
2017,Asian (non-latino),69.6
2018,Asian (non-latino),66.1
