ear,Attendant Type,Value
2012,,131664
2012,Doctor of Medicine(MD),121547
2012,Doctor of Osteopathy(DO),2503
2012,Certified Nurse Midwife(CNM),6828
2012,Other or Unknown,786
2013,,128598
2013,Doctor of Medicine(MD),117340
2013,Doctor of Osteopathy(DO),3262
2013,Certified Nurse Midwife(CNM),7058
2013,Other or Unknown,938
2014,,130289
2014,Doctor of Medicine(MD),117817
2014,Doctor of Osteopathy(DO),3882
2014,Certified Nurse Midwife(CNM),7642
2014,Other or Unknown,948
2015,,124641
2015,Doctor of Medicine(MD),111750
2015,Doctor of Osteopathy(DO),4052
2015,Certified Nurse Midwife(CNM),7824
2015,Other or Unknown,1015
2016,,118512
2016,Doctor of Medicine(MD),109782
2016,Certified Nurse Midwife(CNM),7717
2016,Other or Unknown,1013
2017,,116950
2017,Doctor of Medicine(MD),102657
2017,Doctor of Osteopathy(DO),5098
2017,Certified Nurse Midwife(CNM),8128
2017,Other or Unknown,1067
2018,,110271
2018,Doctor of Medicine(MD),95179
2018,Doctor of Osteopathy(DO),5700
2018,Certified Nurse Midwife(CNM),8306
2018,Other or Unknown,1086
2019,,107231
2019,Doctor of Medicine(MD),92161
2019,Doctor of Osteopathy(DO),5859
2019,Certified Nurse Midwife(CNM),8285
2019,Other or Unknown,926
2020,,98060
2020,Doctor of Medicine(MD),82413
2020,Doctor of Osteopathy(DO),6172
2020,Certified Nurse Midwife(CNM),8421
2020,Other or Unknown,1054
2021,,96241
2021,Doctor of Medicine(MD),80347
2021,Doctor of Osteopathy(DO),6285
2021,Certified Nurse Midwife(CNM),8410
2021,Other or Unknown,1199
2022,,95824
2022,Doctor of Medicine(MD),80298
2022,Doctor of Osteopathy(DO),6092
2022,Certified Nurse Midwife(CNM),8164
2022,Other or Unknown,1270
