Year,Mother's Race,Units,Value
2015,,Total Deaths,510
2015,Asian or Pacific Islander,Total Deaths,74
2015,Black or African American,Total Deaths,93
2015,White,Total Deaths,342
2015,,"Death Rate per 1,000",4.09
2015,Asian or Pacific Islander,"Death Rate per 1,000",3.57
2015,Black or African American,"Death Rate per 1,000",9.40
2015,White,"Death Rate per 1,000",3.65
2016,,Total Deaths,529
2016,Asian or Pacific Islander,Total Deaths,72
2016,Black or African American,Total Deaths,89
2016,White,Total Deaths,367
2016,,"Death Rate per 1,000",4.30
2016,Asian or Pacific Islander,"Death Rate per 1,000",3.33
2016,Black or African American,"Death Rate per 1,000",8.76
2016,White,"Death Rate per 1,000",4.04
2017,,Total Deaths,469
2017,Asian or Pacific Islander,Total Deaths,54
2017,Black or African American,Total Deaths,80
2017,White,Total Deaths,332
2017,,"Death Rate per 1,000",4.01
2017,Asian or Pacific Islander,"Death Rate per 1,000",2.66
2017,Black or African American,"Death Rate per 1,000",8.18
2017,White,"Death Rate per 1,000",3.84
2018,,Total Deaths,443
2018,Asian or Pacific Islander,Total Deaths,57
2018,Black or African American,Total Deaths,81
2018,White,Total Deaths,304
2018,,"Death Rate per 1,000",4.02
2018,Asian or Pacific Islander,"Death Rate per 1,000",3.15
2018,Black or African American,"Death Rate per 1,000",8.76
2018,White,"Death Rate per 1,000",3.68
2019,,Total Deaths,402
2019,Asian or Pacific Islander,Total Deaths,35
2019,Black or African American,Total Deaths,63
2019,White,Total Deaths,286
2019,,""Death Rate per 1,000"",3.75
2019,Asian or Pacific Islander,""Death Rate per 1,000"",2.03
2019,Black or African American,""Death Rate per 1,000"",7.48
2019,White,""Death Rate per 1,000"",3.65
2020,,Total Deaths,378
2020,Asian or Pacific Islander,Total Deaths,29
2020,Black or African American,Total Deaths,67
2020,White,Total Deaths,264
2020,,""Death Rate per 1,000"",3.85
2020,Asian or Pacific Islander,""Death Rate per 1,000"",2.08
2020,Black or African American,""Death Rate per 1,000"",8.33
2020,White,""Death Rate per 1,000"",3.62
2021,,Total Deaths,369
2021,Asian or Pacific Islander,Total Deaths,45
2021,Black or African American,Total Deaths,49
2021,White,Total Deaths,261
2021,,""Death Rate per 1,000"",3.83
2021,Asian or Pacific Islander,""Death Rate per 1,000"",3.57
2021,Black or African American,""Death Rate per 1,000"",6.11
2021,White,""Death Rate per 1,000"",3.60
