Year,Sexual Orientation,Value
2021,,9.4
2021,Heterosexual,5.8
2021,"Gay, Lesbian or Bisexual",22.6
2021,Not sure,16.1
2019,,9.4
2019,Heterosexual,7.8
2019,"Gay, Lesbian or Bisexual",16.4
2019,Not sure,18.8
2017,,8.4
2017,Heterosexual,6.5
2017,"Gay, Lesbian or Bisexual",25.9
2017,Not sure,17.6
2015,,8.4
2015,Heterosexual,6.1
2015,"Gay, Lesbian or Bisexual",24
2015,Not sure,31
2013,,8.4
2013,Heterosexual,6.3
2013,"Gay, Lesbian or Bisexual",23.3
2013,Not sure,22.2
2011,,10.8
2011,Heterosexual,8.5
2011,"Gay, Lesbian or Bisexual",26.8
2011,Not sure,28.2
2009,,8.8
2009,Heterosexual,7.8
2009,"Gay, Lesbian or Bisexual",20.1
2009,Not sure,13.8
