Year,Units,Value
2018,Total Physician and Surgeon Licenses,30848
2017,Total Physician and Surgeon Licenses,30659
2016,Total Physician and Surgeon Licenses,30160
2015,Total Physician and Surgeon Licenses,29118
2014,Total Physician and Surgeon Licenses,29120
2013,Total Physician and Surgeon Licenses,28672
2012,Total Physician and Surgeon Licenses,28181
2018,"Total Physician and Surgeon Licenses per 1,000 population",7.73
2017,"Total Physician and Surgeon Licenses per 1,000 population",7.67
2016,"Total Physician and Surgeon Licenses per 1,000 population",7.58
2015,"Total Physician and Surgeon Licenses per 1,000 population",7.33
2014,"Total Physician and Surgeon Licenses per 1,000 population",7.41
2013,"Total Physician and Surgeon Licenses per 1,000 population",7.38
2012,"Total Physician and Surgeon Licenses per 1,000 population",7.30
