Year,Age Group,Value
2017,15-17,97.1
2017,18-19,79.7
2017,20-24,48.6
2017,25-34,13.6
2017,35 and over,2.8
2016,15-17,97.2
2016,18-19,79.4
2016,20-24,48.1
2016,25-34,13.5
2016,35 and over,2.9
2015,15-17,97.3
2015,18-19,78.8
2015,20-24,47.5
2015,25-34,13.7
2015,35 and over,3
2014,15-17,97
2014,18-19,78.4
2014,20-24,46.5
2014,25-34,13.7
2014,35 and over,3
2013,15-17,96.7
2013,18-19,77.5
2013,20-24,46.2
2013,25-34,13.7
2013,35 and over,3.1
2012,15-17,96.5
2012,18-19,76.4
2012,20-24,45
2012,25-34,13.7
2012,35 and over,3.3
