Year,Top 5 Most Common Occupation,City of LA Department,Gender,Units,Value
2015,,,Female,% of Male / Female Employees,31
2015,,,Male,% of Male / Female Employees,69
2015,,,Female,% of Male / Female Payroll,28
2015,,,Male,% of Male / Female Payroll,72
2015,,Aging,Female,% of Male / Female Employees,52.63
2015,,Aging,Male,% of Male / Female Employees,47.37
2015,,Aging,Female,% of Male / Female Payroll,50.5
2015,,Aging,Male,% of Male / Female Payroll,49.5
2015,,Airports,Female,% of Male / Female Employees,34.97
2015,,Airports,Male,% of Male / Female Employees,65.03
2015,,Airports,Female,% of Male / Female Payroll,32.9
2015,,Airports,Male,% of Male / Female Payroll,67.1
2015,,Animal Services,Female,% of Male / Female Employees,53.51
2015,,Animal Services,Male,% of Male / Female Employees,46.49
2015,,Animal Services,Female,% of Male / Female Payroll,51.26
2015,,Animal Services,Male,% of Male / Female Payroll,48.74
2015,,Building and Safety,Female,% of Male / Female Employees,23.25
2015,,Building and Safety,Male,% of Male / Female Employees,76.75
2015,,Building and Safety,Female,% of Male / Female Payroll,18.21
2015,,Building and Safety,Male,% of Male / Female Payroll,81.79
2015,,City Administrative Officer,Female,% of Male / Female Employees,68.29
2015,,City Administrative Officer,Male,% of Male / Female Employees,31.71
2015,,City Administrative Officer,Female,% of Male / Female Payroll,61.02
2015,,City Administrative Officer,Male,% of Male / Female Payroll,38.98
2015,,City Attorney,Female,% of Male / Female Employees,63.95
2015,,City Attorney,Male,% of Male / Female Employees,36.05
2015,,City Attorney,Female,% of Male / Female Payroll,58.51
2015,,City Attorney,Male,% of Male / Female Payroll,41.49
2015,,City Clerk,Female,% of Male / Female Employees,58.65
2015,,City Clerk,Male,% of Male / Female Employees,41.35
2015,,City Clerk,Female,% of Male / Female Payroll,54.94
2015,,City Clerk,Male,% of Male / Female Payroll,45.06
2015,,City Employees Retirement System,Female,% of Male / Female Employees,66.24
2015,,City Employees Retirement System,Male,% of Male / Female Employees,33.76
2015,,City Employees Retirement System,Female,% of Male / Female Payroll,63.41
2015,,City Employees Retirement System,Male,% of Male / Female Payroll,36.59
2015,,City Ethics Commission,Female,% of Male / Female Employees,50
2015,,City Ethics Commission,Male,% of Male / Female Employees,50
2015,,City Ethics Commission,Female,% of Male / Female Payroll,43.65
2015,,City Ethics Commission,Male,% of Male / Female Payroll,56.35
2015,,City Planning,Female,% of Male / Female Employees,53.77
2015,,City Planning,Male,% of Male / Female Employees,46.23
2015,,City Planning,Female,% of Male / Female Payroll,50.89
2015,,City Planning,Male,% of Male / Female Payroll,49.11
2015,,Controller,Female,% of Male / Female Employees,64.12
