Year,LAPD SAFE Program - SART Calls,Sex,Race,Units,Value
2013-2014,Sexual Assault Response Team (SART) Service Calls,Women,,Percentage,91.7
2013-2014,Sexual Assault Response Team (SART) Service Calls,Men,,Percentage,2.6
2013-2014,Sexual Assault Response Team (SART) Service Calls,Children,,Percentage,3
2013-2014,Sexual Assault Response Team (SART) Service Calls,Sex - Unknown,,Percentage,2.6
2013-2014,Sexual Assault Response Team (SART) Service Calls,"Women, Men, Children",American Indian / Alaskan Native,Percentage,0.39
2013-2014,Sexual Assault Response Team (SART) Service Calls,"Women, Men, Children",Asian American,Percentage,0.39
2013-2014,Sexual Assault Response Team (SART) Service Calls,"Women, Men, Children",African American,Percentage,16.6
2013-2014,Sexual Assault Response Team (SART) Service Calls,"Women, Men, Children",Hispanic/Latino,Percentage,57.5
2013-2014,Sexual Assault Response Team (SART) Service Calls,"Women, Men, Children",Native Hawaiian / Pacific Islander,Percentage,0.39
2013-2014,Sexual Assault Response Team (SART) Service Calls,"Women, Men, Children",White,Percentage,12.4
2013-2014,Sexual Assault Response Team (SART) Service Calls,"Women, Men, Children",Race - Other,Percentage,12.4
