Year,Permanent or Seasonal Water Bodies,Value
1984,Permanent,31.857884
1985,Permanent,30.63435424
1986,Permanent,31.46451452
1987,Permanent,31.24664848
1988,Permanent,30.73620167
1989,Permanent,29.69911628
1990,Permanent,31.72273973
1991,Permanent,31.09086648
1992,Permanent,31.94583019
1993,Permanent,34.52884577
1994,Permanent,33.4463143
1995,Permanent,34.82731619
1996,Permanent,34.16519102
1997,Permanent,32.78048825
1998,Permanent,35.22065859
1999,Permanent,35.00402022
2000,Permanent,34.54313805
2001,Permanent,34.09361626
2002,Permanent,32.73770245
2003,Permanent,32.92440071
2004,Permanent,32.18832671
2005,Permanent,34.0807602
2006,Permanent,33.76969907
2007,Permanent,32.52206035
2008,Permanent,32.08470966
2009,Permanent,31.55528979
2010,Permanent,32.48334527
2011,Permanent,34.05311928
2012,Permanent,32.56272697
2013,Permanent,31.7069792
2014,Permanent,28.3960016
2015,Permanent,28.29073265
2016,Permanent,29.71162382
2017,Permanent,32.67703259
2018,Permanent,31.95270682
1984,Seasonal,4.613852566
1985,Seasonal,8.603146976
1986,Seasonal,10.61072129
1987,Seasonal,9.136802224
1988,Seasonal,10.26736841
1989,Seasonal,10.83689263
1990,Seasonal,8.72499637
1991,Seasonal,13.02484169
1992,Seasonal,12.69116907
1993,Seasonal,13.45781059
1994,Seasonal,10.21216866
1995,Seasonal,12.56792964
1996,Seasonal,13.18543571
1997,Seasonal,10.99724284
1998,Seasonal,13.08073873
1999,Seasonal,9.719263021
2000,Seasonal,12.36327076
2001,Seasonal,12.05224866
2002,Seasonal,10.51422999
2003,Seasonal,12.08190397
2004,Seasonal,12.21362844
2005,Seasonal,14.74605741
2006,Seasonal,13.82174276
2007,Seasonal,11.08383755
2008,Seasonal,13.9360194
2009,Seasonal,13.57781509
2010,Seasonal,14.71161048
2011,Seasonal,14.4821682
2012,Seasonal,12.01004508
2013,Seasonal,8.924700607
2014,Seasonal,13.41404677
2015,Seasonal,12.27051645
2016,Seasonal,11.41998503
2017,Seasonal,12.57531062
2018,Seasonal,11.4435112
