Year,Gender,Occupation,Value
2015,,All,30361
2015,Male,All,31744
2015,Female,All,26919
2015,,"Management, business, science, and arts",56172
2015,Male,"Management, business, science, and arts",61986
2015,Female,"Management, business, science, and arts",50745
2015,,Service,18292
2015,Male,Service,20840
2015,Female,Service,16198
2015,,Sales and office,27020
2015,Male,Sales and office,30385
2015,Female,Sales and office,25647
2015,,"Natural resources, construction, and maintenance",24767
2015,Male,"Natural resources, construction, and maintenance",25067
2015,Female,"Natural resources, construction, and maintenance",20334
2015,,"Production, transportation, and material moving",21642
2015,Male,"Production, transportation, and material moving",23626
2015,Female,"Production, transportation, and material moving",17990
2016,,All,30837
2016,Male,All,32142
2016,Female,All,27479
2016,,"Management, business, science, and arts",57166
2016,Male,"Management, business, science, and arts",63555
2016,Female,"Management, business, science, and arts",51108
2016,,Service,19673
2016,Male,Service,21572
2016,Female,Service,17052
2016,,Sales and office,28137
2016,Male,Sales and office,31205
2016,Female,Sales and office,26072
2016,,"Natural resources, construction, and maintenance",26213
2016,Male,"Natural resources, construction, and maintenance",26267
2016,Female,"Natural resources, construction, and maintenance",22319
2016,,"Production, transportation, and material moving",22387
2016,Male,"Production, transportation, and material moving",24563
2016,Female,"Production, transportation, and material moving",19298
2017,,All,32300
2017,Male,All,35793
2017,Female,All,30259
2017,,"Management, business, science, and arts",60817
2017,Male,"Management, business, science, and arts",70628
2017,Female,"Management, business, science, and arts",51723
2017,,Service,20788
2017,Male,Service,23238
2017,Female,Service,17660
2017,,Sales and office,30421
2017,Male,Sales and office,32212
2017,Female,Sales and office,27451
2017,,"Natural resources, construction, and maintenance",28599
2017,Male,"Natural resources, construction, and maintenance",28684
2017,Female,"Natural resources, construction, and maintenance",26629
2017,,"Production, transportation, and material moving",25204
2017,Male,"Production, transportation, and material moving",27109
2017,Female,"Production, transportation, and material moving",20388
2018,,All,34655
2018,Male,All,37072
2018,Female,All,31125
2018,,"Management, business, science, and arts",61778
2018,Male,"Management, business, science, and arts",71213
2018,Female,"Management, business, science, and arts",55507
2018,,Service,22254
2018,Male,Service,25366
2018,Female,Service,20017
2018,,Sales and office,31305
2018,Male,Sales and office,34922
2018,Female,Sales and office,28691
2018,,"Natural resources, construction, and maintenance",30580
2018,Male,"Natural resources, construction, and maintenance",30674
2018,Female,"Natural resources, construction, and maintenance",23024
2018,,"Production, transportation, and material moving",26116
2018,Male,"Production, transportation, and material moving",28431
2018,Female,"Production, transportation, and material moving",21051
2019,,All,36390
2019,Male,All,39912
2019,Female,All,32283
2019,,"Management, business, science, and arts",65059
2019,Male,"Management, business, science, and arts",71363
2019,Female,"Management, business, science, and arts",60380
2019,,Service,22982
2019,Male,Service,26359
2019,Female,Service,20500
2019,,Sales and office,31979
2019,Male,Sales and office,36069
2019,Female,Sales and office,30276
2019,,"Natural resources, construction, and maintenance",31850
2019,Male,"Natural resources, construction, and maintenance",31903
2019,Female,"Natural resources, construction, and maintenance",29500
2019,,"Production, transportation, and material moving",27141
2019,Male,"Production, transportation, and material moving",30172
2019,Female,"Production, transportation, and material moving",22085
