Year,Injury Type,Value
2013,Fatal Injury,396
2014,Fatal Injury,344
2015,Fatal Injury,388
2016,Fatal Injury,376
2017,Fatal Injury,376
2018,Fatal Injury,422
2019,Fatal Injury,451
2013,Non-Fatal Injury and Illness,468400
2014,Non-Fatal Injury and Illness,460700
2015,Non-Fatal Injury and Illness,470600
2016,Non-Fatal Injury and Illness,466600
2017,Non-Fatal Injury and Illness,466600
2018,Non-Fatal Injury and Illness,466500
2019,Non-Fatal Injury and Illness,483300
2020,Non-Fatal Injury and Illness,448300
