Year,Units,Value,,
2016-2017,Percentage of Total Jobs,11.7,,
2016,Percentage of Total Jobs,11.6,,
2015,Percentage of Total Jobs,11.4,,
2013-2014,Percentage of Total Jobs,10.1,,
2012-2013,Percentage of Total Jobs,10.9,,
2016-2017,Number of Jobs,515992,,
2016,Number of Jobs,505492,,
2015,Number of Jobs,466608,,
2013-2014,Number of Jobs,453600,,
2012-2013,Number of Jobs,423358,,
2016-2017,Jobs Growth Rate (%),2,,
2016,Jobs Growth Rate (%),8,,
2015,Jobs Growth Rate (%),3,,
2013-2014,Jobs Growth Rate (%),7,,
2012-2013,Jobs Growth Rate (%),5,,
