Year,Department Title,% Employed,% of Payroll,Value
2015,Aging,Female,,52.63
2015,Aging,Male,,47.37
2015,Aging,,Women,50.5
2015,Aging,,Men,49.5
2015,Airports,Female,,34.97
2015,Airports,Male,,65.03
2015,Airports,,Women,32.9
2015,Airports,,Men,67.1
2015,Animal Services,Female,,53.51
2015,Animal Services,Male,,46.49
2015,Animal Services,,Women,51.26
2015,Animal Services,,Men,48.74
2015,Building and Safety,Female,,23.25
2015,Building and Safety,Male,,76.75
2015,Building and Safety,,Women,18.21
2015,Building and Safety,,Men,81.79
2015,City Administrative Officer,Female,,68.29
2015,City Administrative Officer,Male,,31.71
2015,City Administrative Officer,,Women,61.02
2015,City Administrative Officer,,Men,38.98
2015,City Attorney,Female,,63.95
2015,City Attorney,Male,,36.05
2015,City Attorney,,Women,58.51
2015,City Attorney,,Men,41.49
2015,City Clerk,Female,,58.65
2015,City Clerk,Male,,41.35
2015,City Clerk,,Women,54.94
2015,City Clerk,,Men,45.06
2015,City Employees Retirement System,Female,,66.24
2015,City Employees Retirement System,Male,,33.76
2015,City Employees Retirement System,,Women,63.41
2015,City Employees Retirement System,,Men,36.59
2015,City Ethics Commission,Female,,50
2015,City Ethics Commission,Male,,50
2015,City Ethics Commission,,Women,43.65
2015,City Ethics Commission,,Men,56.35
